City,Guest Satisfaction,average_distance_metro
Vienna,72.0,0.6418212975938207
Vienna,73.0,0.25387898255419894
Vienna,74.0,0.6287213966558287
Vienna,75.0,0.35515174113767095
Vienna,76.0,0.2648220604824205
Vienna,77.0,0.5950671755002929
Vienna,78.0,0.3623990983954166
Vienna,79.0,0.270761221571019
Vienna,80.0,0.41465207994293074
Vienna,81.0,0.5322158937090959
Vienna,82.0,0.321012318762261
Vienna,83.0,0.47779418417368763
Vienna,84.0,0.44620608329502387
Vienna,85.0,0.40372435150501124
Vienna,86.0,0.4011010631692953
Vienna,87.0,0.4725201212540507
Vienna,88.0,0.44322310906971535
Vienna,89.0,0.429388344869195
Vienna,90.0,0.4469675551218023
Vienna,91.0,0.4865582737190245
Vienna,92.0,0.37173952970782154
Vienna,93.0,0.387860902272012
Vienna,94.0,0.4794377163336994
Vienna,95.0,0.3727221606544754
Vienna,96.0,0.4180921458589997
Vienna,97.0,0.4463676421764566
Vienna,98.0,0.4979113490762523
Vienna,99.0,0.40929185209138064
Vienna,100.0,0.4359942277897886
